,values,,,,,,,,,,,,,,,avg,,,,,SD,,,,
Time,50 킠,50 킠,50 킠,25 킠,25 킠,25 킠,12.5 킠,12.5 킠,12.5 킠,Pd,Pd,Pd,LB,LB,LB,50 킠,25 킠,12.5 킠,Pd,LB,50 킠,25 킠,12.5 킠,Pd,LB
25,0.425,0.397,0.404,0.489,0.484,0.476,0.51,0.497,0.51,0.527,0.552,0.554,0.096,0.095,0.096,0.408666667,0.483,0.505666667,0.544333333,0.095666667,0.014571662,0.006557439,0.007505553,0.015044379,0.00057735
26,0.425,0.41,0.407,0.528,0.52,0.502,0.527,0.515,0.509,0.536,0.559,0.571,0.096,0.095,0.096,0.414,0.516666667,0.517,0.555333333,0.095666667,0.009643651,0.013316656,0.009165151,0.017785762,0.00057735
27,0.454,0.416,0.444,0.539,0.558,0.519,0.555,0.552,0.54,0.536,0.57,0.582,0.096,0.095,0.096,0.438,0.538666667,0.549,0.562666667,0.095666667,0.019697716,0.019502137,0.007937254,0.023860707,0.00057735
28,0.467,0.435,0.456,0.565,0.55,0.539,0.567,0.559,0.542,0.54,0.565,0.593,0.096,0.095,0.096,0.452666667,0.551333333,0.556,0.566,0.095666667,0.016258331,0.013051181,0.012767145,0.026514147,0.00057735
29,0.481,0.455,0.474,0.574,0.57,0.565,0.59,0.576,0.56,0.55,0.57,0.6,0.096,0.095,0.096,0.47,0.569666667,0.575333333,0.573333333,0.095666667,0.013453624,0.00450925,0.015011107,0.025166115,0.00057735
30,0.499,0.479,0.493,0.601,0.582,0.575,0.595,0.591,0.586,0.571,0.596,0.602,0.096,0.096,0.096,0.490333333,0.586,0.590666667,0.589666667,0.096,0.010263203,0.013453624,0.00450925,0.016441817,1.69967E-17
31,0.513,0.509,0.516,0.6,0.608,0.589,0.596,0.62,0.57,0.56,0.605,0.624,0.096,0.095,0.096,0.512666667,0.599,0.595333333,0.596333333,0.095666667,0.003511885,0.009539392,0.025006666,0.032868425,0.00057735
32,0.519,0.524,0.528,0.623,0.634,0.603,0.614,0.608,0.602,0.59,0.613,0.635,0.096,0.095,0.096,0.523666667,0.62,0.608,0.612666667,0.095666667,0.00450925,0.015716234,0.006,0.022501852,0.00057735
33,0.533,0.545,0.562,0.637,0.651,0.622,0.639,0.624,0.607,0.582,0.631,0.655,0.096,0.095,0.096,0.546666667,0.636666667,0.623333333,0.622666667,0.095666667,0.014571662,0.014502873,0.016010413,0.03720663,0.00057735
34,0.586,0.565,0.575,0.653,0.663,0.644,0.638,0.633,0.622,0.606,0.65,0.669,0.096,0.096,0.096,0.575333333,0.653333333,0.631,0.641666667,0.096,0.010503968,0.009504385,0.008185353,0.032316147,1.69967E-17
