,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avr,,,,,sd,,,,
,25 然,,,,,12.5 然,,,,,6.25 然,,,,,,,,,,PD,,,,,LB,,,,,25 然,12.5 然,6.25 然,PD,LB,25 然,12.5 然,6.25 然,PD,LB
Time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,G1,G2,G3,G4,G5,G6,0.1035,0.103,0.103,0.103333333,0.099,0.00057735,0.001,0.001154701,0.00057735,0.001414214
17,0.108,0.11,0.109,0.111,0.109,0.127,0.12,0.12,0.118,0.116,0.187,0.19,0.243,0.223,0.226,0.221,0.238,0.21,0.221,0.227,0.46,0.463,0.467,0.464,0.488,0.097,0.098,0.1,0.1,0.101,0.1175,0.136,0.26,0.501,0.099,0.001732051,0.004582576,0.006271629,0.003464102,0.001414214
18,0.115,0.117,0.116,0.12,0.117,0.163,0.138,0.14,0.137,0.131,0.222,0.221,0.271,0.261,0.262,0.259,0.269,0.248,0.259,0.262,0.497,0.501,0.503,0.503,0.523,0.097,0.098,0.1,0.1,0.1,0.1315,0.175333333,0.282,0.536666667,0.0994,0.00341565,0.003785939,0.005066228,0.004163332,0.001516575
19,0.127,0.13,0.128,0.136,0.132,0.199,0.178,0.178,0.177,0.171,0.256,0.25,0.29,0.283,0.284,0.282,0.29,0.273,0.28,0.282,0.532,0.536,0.538,0.54,0.559,0.097,0.099,0.1,0.1,0.101,0.16625,0.209,0.301571429,0.58,0.0992,0.005560276,0.004358899,0.00512696,0.004582576,0.001643168
20,0.149,0.164,0.16,0.173,0.168,0.235,0.213,0.212,0.211,0.204,0.273,0.265,0.308,0.302,0.304,0.301,0.31,0.293,0.299,0.302,0.575,0.577,0.581,0.584,0.603,0.097,0.098,0.1,0.1,0.101,0.19775,0.241666667,0.322142857,0.621666667,0.0992,0.0045,0.004041452,0.005145502,0.005131601,0.001643168
21,0.198,0.198,0.192,0.203,0.198,0.266,0.247,0.244,0.244,0.237,0.291,0.28,0.327,0.323,0.324,0.322,0.331,0.314,0.319,0.322,0.616,0.616,0.623,0.626,0.64,0.097,0.098,0.1,0.1,0.101,0.228,0.262333333,0.341,0.652666667,0.099,0.003741657,0.002081666,0.004725816,0.004041452,0.001414214
22,0.22,0.229,0.223,0.232,0.228,0.281,0.269,0.264,0.263,0.26,0.307,0.294,0.343,0.342,0.344,0.342,0.348,0.333,0.338,0.34,0.652,0.654,0.657,0.649,0.669,0.097,0.098,0.1,0.1,0.1,0.251,0.279333333,0.356571429,0.681666667,0.0992,0.001414214,0.002886751,0.005883795,0.009291573,0.00130384
23,0.241,0.252,0.249,0.252,0.251,0.299,0.286,0.281,0.281,0.276,0.323,0.307,0.355,0.356,0.358,0.355,0.361,0.348,0.352,0.366,0.679,0.686,0.692,0.674,0.7,0.097,0.099,0.1,0.1,0.1,0.26375,0.296,0.370571429,0.708666667,0.099,0.002061553,0.003464102,0.005094348,0.009291573,0.001414214
24,0.254,0.266,0.264,0.264,0.261,0.318,0.303,0.298,0.298,0.292,0.337,0.321,0.369,0.371,0.374,0.371,0.379,0.363,0.367,0.369,0.706,0.71,0.719,0.701,0.718,0.097,0.098,0.1,0.1,0.1,0.2775,0.312666667,0.392714286,0.724666667,0.099,0.001290994,0.004041452,0.006550173,0.011590226,0.001414214
25,0.263,0.278,0.277,0.279,0.276,0.337,0.32,0.315,0.315,0.308,0.347,0.335,0.388,0.394,0.396,0.392,0.404,0.383,0.388,0.392,0.719,0.726,0.738,0.717,0.731,0.097,0.098,0.1,0.1,0.1,0.29225,0.327666667,0.422285714,0.736666667,0.099,0.000957427,0.004041452,0.007087884,0.008621678,0.001414214
26,0.268,0.292,0.293,0.293,0.291,0.354,0.338,0.33,0.33,0.323,0.365,0.345,0.414,0.424,0.427,0.42,0.434,0.412,0.417,0.422,0.735,0.737,0.746,0.729,0.741,0.097,0.098,0.1,0.1,0.1,0.306,0.341,0.454,0.747,0.099,0.00244949,0.003464102,0.006928203,0.001732051,0.001414214
27,0.285,0.304,0.309,0.307,0.304,0.367,0.354,0.343,0.343,0.337,0.386,0.359,0.444,0.455,0.457,0.449,0.465,0.444,0.45,0.458,0.746,0.748,0.749,0.746,0.755,0.097,0.098,0.1,0.1,0.1,0.32225,0.353,0.487,0.756666667,0.099,0.003201562,0.003464102,0.006082763,0.010066446,0.001414214
28,0.297,0.32,0.327,0.321,0.321,0.38,0.365,0.355,0.355,0.349,0.414,0.38,0.477,0.489,0.488,0.481,0.497,0.48,0.483,0.491,0.746,0.758,0.758,0.766,0.758,0.097,0.098,0.1,0.1,0.1,0.33875,0.371333333,0.523571429,0.757333333,0.099,0.003774917,0.004725816,0.007785824,0.001527525,0.001414214
